id|broker_code|address|price
0|DM|9139 Thomas Cliff Suite 591|390300.0
1|PE|8310 Ward Isle Suite 139|244300.0
2|DM|10765 David Flat Suite 227|139400.0
3|DM|04853 Jennifer Ford Suite 088|111300.0
4|DM|372 Shannon Forest|333500.0
5|PP|91162 Moore Shoal|174300.0
6|GE|01335 Drew Walk|187500.0
7|FL|143 Tamara Fall Apt. 518|382100.0
8|FL|1276 Michael Flats|146200.0
9|DM|71792 Kelly Shoal|266800.0
10|AS|580 Jacqueline Flats Suite 557|297300.0
11|WD|7027 Timothy Haven|340500.0
12|WD|46404 Smith Forge Suite 288|276800.0
13|WD|45418 White Field|383400.0
14|DM|27598 Tina River|338800.0
15|GE|1629 Hammond Turnpike Apt. 331|235500.0
16|PE|8933 John Island Apt. 220|330900.0
17|GB|233 Jones Radial Apt. 608|170000.0
18|AS|3457 Barker Ridge Suite 227|216400.0
19|PE|682 Erickson Roads|395500.0
20|FL|4949 Samuel Road Apt. 192|162100.0
21|PP|90495 Rachel Islands|303700.0
22|PE|5552 Goodman Extension Apt. 114|304300.0
23|GE|759 Dana Freeway|124700.0
24|WD|32981 Walker Lodge Suite 755|211800.0
25|WD|43246 Lisa Ways|219100.0
26|PP|457 Jacqueline Forge|117900.0
27|PE|08237 Marks Centers Apt. 555|362200.0
28|GE|732 Richard Pass Suite 091|231100.0
29|GE|8931 Cole Trail Suite 924|124000.0
30|WD|9981 Michael Gateway|383000.0
31|FL|4788 Anthony Vista|151900.0
32|WD|3363 Welch Tunnel|134100.0
33|GB|978 Suzanne Villages|253800.0
34|GE|99750 Manning Mission Suite 179|387600.0
35|GB|87608 Hudson Viaduct Suite 051|203000.0
36|PP|86044 Jason Plaza|119600.0
37|PP|15013 Miller Corner|288100.0
38|PP|24215 Pierce Land Suite 712|162100.0
39|FL|84469 Karen Stream|112900.0
40|GE|0600 Diane Place|170300.0
41|WD|72991 Ashley Rapid Apt. 190|363100.0
42|FL|88954 Heather Brooks|183200.0
